Frequency(Hz),   Magnitude(dB)
    1.742, -33.963215
    1.765, -33.962898
    1.788, -33.962578
    1.811, -33.962250
    1.835, -33.961918
    1.859, -33.961586
    1.883, -33.961231
    1.908, -33.960876
    1.933, -33.960526
    1.958, -33.960152
    1.984, -33.959782
    2.010, -33.959389
    2.036, -33.959000
    2.063, -33.958599
    2.090, -33.958191
    2.118, -33.957760
    2.145, -33.957329
    2.173, -33.956871
    2.202, -33.956406
    2.231, -33.955917
    2.260, -33.955406
    2.290, -33.954872
    2.320, -33.954308
    2.350, -33.953705
    2.381, -33.953087
    2.412, -33.952419
    2.443, -33.951721
    2.475, -33.950989
    2.508, -33.950073
    2.541, -33.949139
    2.574, -33.948174
    2.608, -33.947182
    2.642, -33.946163
    2.677, -33.945114
    2.712, -33.944046
    2.747, -33.942940
    2.783, -33.941795
    2.820, -33.940632
    2.856, -33.939423
    2.894, -33.938190
    2.932, -33.936920
    2.970, -33.935616
    3.009, -33.934273
    3.049, -33.932888
    3.088, -33.931465
    3.129, -33.930008
    3.170, -33.928501
    3.211, -33.926964
    3.254, -33.925373
    3.296, -33.923744
    3.339, -33.922066
    3.383, -33.920338
    3.427, -33.918556
    3.472, -33.916725
    3.518, -33.914845
    3.564, -33.912910
    3.611, -33.910915
    3.658, -33.908867
    3.706, -33.906757
    3.754, -33.904583
    3.803, -33.902351
    3.853, -33.900043
    3.904, -33.897678
    3.955, -33.895237
    4.007, -33.892731
    4.059, -33.890144
    4.112, -33.887482
    4.166, -33.884735
    4.221, -33.881912
    4.276, -33.879005
    4.332, -33.876011
    4.389, -33.872932
    4.446, -33.869743
    4.505, -33.866474
    4.564, -33.863106
    4.623, -33.859627
    4.684, -33.856049
    4.745, -33.852360
    4.807, -33.848557
    4.870, -33.844635
    4.934, -33.840591
    4.999, -33.836426
    5.064, -33.832130
    5.131, -33.827705
    5.198, -33.823151
    5.266, -33.818436
    5.335, -33.813591
    5.405, -33.808586
    5.476, -33.803429
    5.547, -33.798096
    5.620, -33.792603
    5.694, -33.786938
    5.768, -33.781090
    5.844, -33.775063
    5.920, -33.768837
    5.998, -33.762409
    6.077, -33.755772
    6.156, -33.748932
    6.237, -33.741859
    6.318, -33.734562
    6.401, -33.727036
    6.485, -33.719254
    6.570, -33.711227
    6.656, -33.702927
    6.743, -33.694355
    6.832, -33.685505
    6.921, -33.676361
    7.012, -33.666916
    7.104, -33.657162
    7.197, -33.647072
    7.291, -33.636658
    7.387, -33.625893
    7.483, -33.614761
    7.581, -33.603260
    7.681, -33.591370
    7.781, -33.579086
    7.883, -33.566383
    7.986, -33.553238
    8.091, -33.539669
    8.197, -33.525620
    8.304, -33.511108
    8.413, -33.496094
    8.523, -33.480560
    8.635, -33.464508
    8.748, -33.447899
    8.863, -33.430721
    8.979, -33.412964
    9.096, -33.394585
    9.216, -33.375580
    9.336, -33.355927
    9.459, -33.335594
    9.583, -33.314552
    9.708, -33.292801
    9.835, -33.270294
    9.964, -33.247017
   10.095, -33.222935
   10.227, -33.198036
   10.361, -33.172264
   10.497, -33.145622
   10.634, -33.118069
   10.773, -33.089561
   10.914, -33.060085
   11.057, -33.029606
   11.202, -32.998096
   11.349, -32.965508
   11.498, -32.931824
   11.648, -32.896996
   11.801, -32.861008
   11.956, -32.823803
   12.112, -32.785362
   12.271, -32.745640
   12.432, -32.704605
   12.594, -32.662212
   12.759, -32.618431
   12.927, -32.573227
   13.096, -32.526543
   13.267, -32.478371
   13.441, -32.428650
   13.617, -32.377350
   13.796, -32.324421
   13.976, -32.269844
   14.159, -32.213566
   14.345, -32.155563
   14.533, -32.095779
   14.723, -32.034180
   14.916, -31.970741
   15.112, -31.905424
   15.309, -31.838181
   15.510, -31.768991
   15.713, -31.697809
   15.919, -31.624615
   16.128, -31.549370
   16.339, -31.472046
   16.553, -31.392614
   16.770, -31.311047
   16.989, -31.227314
   17.212, -31.141407
   17.437, -31.053288
